Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
Khidmah Digital Hospital,23.5401478,90.7837646,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Brac Bank, Madona Garden City, Vulir Par, Homna Road, Homna Hwy, Comilla, Gourip",ChIJ3cnkzuVaVDcRG6cbJrPQpVk
নিউ মেডিনোভা হসপিটাল,23.5399594,90.7838863,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","বাজার, Gouripur",ChIJ3zgdfNNbVDcRnsNG5zTFCxY
Delwar parvez dolon,23.5402194,90.7837566,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJewtEHIJbVDcRcZW1aimlSWc
Barashalghar Hospital,23.6884905,91.0315052,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Montri Bari Road, Barashalghar",ChIJCz4vdrhtVDcRpLYDw4Tl6e4
ইউসুফপুর ইউনিয়ন হসপিটাল,23.6699868,91.0272304,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Maheshpur Road, Yousufpur",ChIJH4EWCg5tVDcRbhw6spvvUZU
ইউসুফপুর স্বাস্থ্য ও পরিবার কেন্দ্র।,23.6695996,91.0270856,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Maheshpur Road, Yousufpur",ChIJTZAcFAltVDcR4M_C1wC1tNw
ROYAL HOSPITAL & DIAGNOSTIC CENTER,23.7110556,91.0541024,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla- Sylhet Highway, Madhabpur",ChIJ5XGx9oFtVDcR9JGcjkKMX1k
Madhabpur Health &Family welfare center,23.712257,91.0614139,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Mirpur,ChIJ2ezigoByVDcRdmYdUqoZspk
Mirpur Hospital,23.7122915,91.0613464,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Brahmanpara Upazila,ChIJEY-GZvFzVDcRJpBc_pMHRgw
Sheba Clinic,23.6459245,91.0528039,5,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Agaragram, Agargram-Khan Bari Road",ChIJ5XWJ8WJvVDcRjFEZRJra1cI
"c&b bazar , dr.badal",23.6667297,90.9951542,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla - Sylhet Highway,ChIJMZw0hc5tVDcR-tbLFEaUhmk
Subil Government Hospital,23.6341733,91.0483917,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Subil,ChIJ4b9yABFvVDcRxGlYdzY3pZI
Kurbanpur Community Clinic,23.731364,91.0318438,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kurbanpur Mazar road,ChIJ2_OJlYNtVDcRufsvjXpsGl0
ইউনিয়ন সাস্থ ও পরিবার কল্যাণ কেন্দ্র,23.6819298,91.0997674,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJF2YEaAJzVDcRoSX2AL1oN94
দৈালবাড়ী দক্ষিন পাড়া সরকারি হসপিটাল,23.7212323,91.001273,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJmevcZRFtVDcRrKdcpvhqlHc
মাইজখার কমিউনিটি ক্লিনিক,23.7234463,91.0899827,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Maizkhar,ChIJpcOFfOJzVDcRqolYgYcieKY
Bangura hospital,23.7153971,90.9855083,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bangura,ChIJh-RT2vdtVDcRiMPKvIfI5Nw
